RANK,TEAM,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
,BOS,East,Atlantic,78,120.8,109.2,11.6,97.1,123.4,111.5,11.9,-0.6,-3.38,11.3,15.6,0.086,62,16,0.795,0.777,0.882,0.018,5
,MIL,East,Central,78,119.7,116.8,2.9,100.1,118.8,115.9,2.9,-0.77,6,2.13,15.9,0.049,47,31,0.603,0.573,0.595,0.03,-4
,NYK,East,Atlantic,78,112.5,108,4.5,95.3,117.8,113.1,4.7,-0.38,1.33,4.32,16.2,0.003,46,32,0.59,0.614,0.648,-0.024,1
,ORL,East,Southeast,78,110.6,108.3,2.3,96.8,113.6,111.2,2.4,-0.25,3.7,2.15,14.8,0.004,46,32,0.59,0.564,0.576,0.026,1
,CLE,East,Central,79,112.5,110.1,2.4,97.1,115.1,112.7,2.4,-0.25,-6.9,2.15,15.5,0.029,46,33,0.582,0.561,0.579,0.021,-3
,IND,East,Central,79,122.7,120.2,2.5,101.6,120.6,118.1,2.5,0.18,-2.17,2.68,15.3,0.006,45,34,0.57,0.565,0.582,0.005,2
,PHI,East,Atlantic,79,114.5,112,2.5,97.4,117,114.4,2.6,-1.09,-6.57,1.51,16.1,-0.045,44,35,0.557,0.564,0.582,-0.007,5
,MIA,East,Southeast,78,110,108.5,1.5,96.3,114.1,112.5,1.6,-0.37,-2.5,1.23,15,-0.027,43,35,0.551,0.542,0.549,0.009,-1
,CHI,East,Central,78,111.7,113.4,-1.7,96.2,114.4,116.1,-1.7,0.28,-1.83,-1.42,13.1,-0.045,37,41,0.474,0.448,0.444,0.026,-1
,ATL,East,Southeast,78,118.7,120.3,-1.6,100.1,117.8,119.4,-1.6,-0.7,0.85,-2.3,14.4,-0.046,36,42,0.462,0.456,0.447,0.006,-2
,BRO,East,Atlantic,79,110.8,113.5,-2.7,97,113.4,116.2,-2.8,-0.2,1.43,-3,16,-0.014,31,48,0.392,0.431,0.411,-0.039,-1
,TOR,East,Atlantic,78,112.6,118.6,-6,99.4,112.5,118.5,-6,0.33,0.88,-5.67,15.9,-0.042,25,53,0.321,0.353,0.302,-0.032,2
,CHA,East,Southeast,78,106.4,116.6,-10.2,97.2,109.2,119.6,-10.4,0.62,5.58,-9.78,14.2,-0.068,19,59,0.244,0.232,0.164,0.012,-1
,WAS,East,Southeast,79,113.4,122.8,-9.4,102.6,110.2,119.3,-9.1,0.82,7.13,-8.28,12.7,-0.052,15,64,0.19,0.237,0.19,-0.047,-3
,DET,East,Central,78,110.3,119.2,-8.9,99.8,110,119,-9,0.83,-0.13,-8.17,11.5,-0.007,13,65,0.167,0.218,0.207,-0.051,-4
,DEN,West,Northwest,78,114.7,109.7,5,96.8,118.3,113.2,5.1,-0.02,-1.25,5.08,14.2,0.056,54,24,0.692,0.64,0.665,0.052,1
,MIN,West,Northwest,78,113,106,7,97.1,115.6,108.4,7.2,-0.93,-0.35,6.27,13.6,0.069,54,24,0.692,0.701,0.73,-0.009,1
,OKC,West,Northwest,78,119.8,113.5,6.3,99.6,119.5,113.2,6.3,-0.28,-1.6,6.02,16.7,0.01,53,25,0.679,0.647,0.707,0.032,1
,LAC,West,Pacific,78,116.1,112.4,3.7,97,119.5,115.8,3.7,-0.5,-2.48,3.2,14.4,0.031,50,28,0.641,0.602,0.622,0.039,3
,DAL,West,Southwest,78,118.6,116,2.6,100.1,118.3,115.7,2.6,0.08,-1.28,2.68,17,0.002,48,30,0.615,0.561,0.586,0.054,3
,NOR,West,Southwest,78,115,110.5,4.5,97.9,117.3,112.8,4.5,0.41,-2.05,4.91,17.4,0.017,46,32,0.59,0.602,0.648,-0.012,1
,PHO,West,Pacific,78,116.4,113.5,2.9,98.4,117.8,114.8,3,-0.14,4.65,2.86,12.4,0.075,46,32,0.59,0.595,0.595,-0.005,-1
,SAC,West,Pacific,78,116.7,115.1,1.6,98.8,117,115.4,1.6,0.01,2,1.61,16.2,-0.002,45,33,0.577,0.539,0.553,0.038,1
,LAL,West,Pacific,79,117.9,117.3,0.6,100.9,115.7,115.2,0.5,-0.04,0.3,0.46,15.1,0.031,45,34,0.57,0.513,0.52,0.057,-1
,GOL,West,Pacific,78,117.8,115.4,2.4,99.2,117.8,115.4,2.4,-0.31,-2.15,2.09,13.9,0.045,43,35,0.551,0.569,0.579,-0.018,1
,HOU,West,Southwest,78,114.2,113.3,0.9,98.8,114.4,113.6,0.8,0.04,-0.75,0.84,14.8,-0.021,38,40,0.487,0.522,0.53,-0.035,-5
,UTA,West,Northwest,78,115.9,120.8,-4.9,99.6,115.6,120.5,-4.9,0.39,0.25,-4.51,16.2,0,29,49,0.372,0.381,0.339,-0.009,-12
,MEM,West,Southwest,78,105.9,112.7,-6.8,98,107.3,114.2,-6.9,0.72,-2.13,-6.18,14.3,-0.06,27,51,0.346,0.315,0.276,0.031,-1
,POR,West,Northwest,78,106.9,115.6,-8.7,97.3,108.7,117.5,-8.8,0.47,1.83,-8.33,15.6,-0.066,21,57,0.269,0.287,0.214,-0.018,-1
,SAN,West,Southwest,78,112.3,119.2,-6.9,101.1,110.2,117,-6.8,0.59,-1.55,-6.21,13.7,-0.024,19,59,0.244,0.309,0.273,-0.065,-1